id,MW,cLogP,HBD,HBA,RotB,charge
CHEMBL443523,369.22200000000004,4.260400000000002,2,4,4,0
CHEMBL125920,375.43200000000013,4.560900000000003,2,6,7,0
CHEMBL65250,323.327,3.511000000000002,1,5,4,0
CHEMBL54088,305.341,3.201320000000001,2,5,4,0
CHEMBL53555,343.749,3.6854000000000013,2,5,4,0
CHEMBL53637,324.771,4.151300000000002,2,4,4,0
CHEMBL125086,375.42800000000017,5.430800000000004,1,6,7,0
CHEMBL127223,392.48400000000015,5.294300000000004,1,7,7,0
CHEMBL53203,382.42300000000006,5.290200000000003,2,5,6,0
CHEMBL329867,332.36300000000017,3.938800000000003,1,6,4,0
CHEMBL419137,321.3800000000001,3.615000000000002,1,5,5,0
CHEMBL91484,392.50300000000027,3.936900000000003,1,6,9,0
CHEMBL90540,349.39000000000016,3.5317000000000016,1,6,5,0
CHEMBL328106,360.2110000000001,4.153100000000003,1,5,4,0
CHEMBL316064,349.3120000000001,4.409400000000002,1,5,4,0
CHEMBL93302,316.158,3.841500000000001,2,4,2,0
CHEMBL418967,416.3190000000002,5.713500000000004,1,5,8,0
CHEMBL94191,281.31500000000005,3.390600000000002,1,5,4,0
CHEMBL328879,251.28900000000004,3.3820000000000014,1,4,3,0
CHEMBL96780,345.2000000000001,3.726700000000002,2,5,3,0
CHEMBL90013,343.228,4.201900000000003,1,4,3,0
CHEMBL433205,304.27500000000003,3.974400000000002,2,4,2,0
CHEMBL52197,330.18500000000006,4.1445000000000025,1,4,3,0
CHEMBL91980,362.17400000000004,3.560200000000001,2,4,2,0
CHEMBL93051,344.1680000000001,3.864600000000001,1,5,2,0
CHEMBL93966,254.26800000000003,3.0947000000000005,2,4,2,0
CHEMBL328955,270.72300000000007,3.609000000000001,2,4,2,0
CHEMBL93461,357.21100000000007,4.094300000000002,2,4,3,0
CHEMBL420254,343.228,4.567700000000002,2,4,4,0
CHEMBL63469,349.619,4.371500000000001,2,4,2,0
CHEMBL52015,343.228,4.201900000000003,1,4,3,0
CHEMBL93734,402.20800000000014,4.002500000000002,2,6,4,0
CHEMBL92985,239.25300000000004,3.512500000000001,1,3,2,0
CHEMBL330224,236.27800000000005,2.9556000000000013,2,4,2,0
CHEMBL66409,379.6010000000001,4.697500000000002,1,5,3,0
CHEMBL94431,299.30500000000006,3.529700000000002,1,5,4,0
CHEMBL92936,374.19800000000015,4.085800000000002,2,6,4,0
CHEMBL92937,344.2160000000001,3.759800000000001,3,5,3,0
CHEMBL50344,329.2010000000001,4.177600000000002,2,4,3,0
CHEMBL93545,360.1710000000001,3.6263000000000014,2,6,3,0
CHEMBL96065,407.2110000000001,3.9952000000000023,1,5,4,0
CHEMBL328691,373.21000000000004,4.314200000000002,2,5,3,0
CHEMBL65038,375.18200000000013,4.052700000000002,1,6,4,0
CHEMBL317925,390.2370000000002,4.161700000000003,1,6,5,0
CHEMBL327307,439.10700000000014,4.915600000000003,1,5,4,0
CHEMBL93783,456.34400000000016,3.5547000000000017,3,6,8,0
CHEMBL177053,357.23600000000005,4.745600000000001,1,5,2,0
