molecule_chembl_id,parent_molecule_chembl_id,canonical_smiles,standard_type,standard_relation,standard_value,standard_units,pchembl_value,assay_chembl_id
CHEMBL5284924,CHEMBL5284924,COc1cc(N2CCN(C)CC2)ccc1Nc1ncc(C(=O)Oc2ccccc2)c(-c2cn(C)c3ccccc23)n1,IC50,=,0.064,nM,10.19,CHEMBL5260457
CHEMBL5968640,CHEMBL5968640,CCN1CC2(C1)CN(c1cc3c(Nc4cccc(Cl)c4F)ncnc3cc1OC)C(=O)O2,IC50,=,0.069,nM,10.16,CHEMBL5736967
CHEMBL5874605,CHEMBL5874605,COc1cc2ncnc(Nc3ccc(Cl)c(Cl)c3F)c2cc1N1CC2(CCN(C)CC2)OC1=O,IC50,=,0.07,nM,10.15,CHEMBL5736967
CHEMBL4103912,CHEMBL4103912,C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccc(F)cc34)n2)c(OC)cc1N(C)CCN(C)C,IC50,=,0.07,nM,10.15,CHEMBL4411959
CHEMBL275762,CHEMBL275762,O=C(CCl)Nc1ccc2ncnc(Nc3cc(Cl)c(Cl)cc3F)c2c1,IC50,=,0.07,nM,10.15,CHEMBL832761
CHEMBL4756368,CHEMBL4756368,C=CC(=O)Nc1cc(-c2c[nH]c3ncnc(Nc4ccc5c(cnn5Cc5ccccc5)c4)c23)ccc1OCCO,IC50,=,0.07,nM,10.15,CHEMBL4670931
CHEMBL5195904,CHEMBL5195904,CCOC1CN(C2CCN(c3cc(OC)c(Nc4ncc(Br)c(Nc5ccc6c(c5P(C)(C)=O)OCCO6)n4)cc3C)CC2)C1,IC50,=,0.07,nM,10.15,CHEMBL5117930
CHEMBL5399653,CHEMBL5399653,COc1cc(N2CCC(N3CC(C(C)(C)O)C3)CC2)c(C)cc1Nc1ncc(Br)c(Nc2ccc3nccnc3c2P(C)(C)=O)n1,IC50,=,0.07,nM,10.15,CHEMBL5327354
CHEMBL5422588,CHEMBL5422588,COc1cc(N2CCC(N3CCN(C(C)=O)CC3)CC2)c(C)cc1Nc1ncc(Br)c(Nc2ccc3nccnc3c2P(C)(C)=O)n1,IC50,=,0.07,nM,10.15,CHEMBL5327354
CHEMBL5399653,CHEMBL5399653,COc1cc(N2CCC(N3CC(C(C)(C)O)C3)CC2)c(C)cc1Nc1ncc(Br)c(Nc2ccc3nccnc3c2P(C)(C)=O)n1,IC50,=,0.07,nM,10.15,CHEMBL6089389
CHEMBL327307,CHEMBL327307,COc1cc2ncnc(Nc3ccc(Br)c(Br)c3)c2cc1OC,IC50,=,0.072,nM,10.14,CHEMBL680017
CHEMBL328106,CHEMBL328106,COc1cc2ncnc(Nc3ccc(Br)cc3)c2cc1OC,IC50,=,0.07244,nM,10.14,CHEMBL952131
CHEMBL5957231,CHEMBL5957231,CCN1CCN(Cc2ccc(C(=O)N[C@@H]3[C@H]4Oc5ccc(Oc6ccnc7c6CNC(=O)N7)cc5[C@@H]34)cc2C(F)(F)F)CC1,IC50,=,0.076,nM,10.12,CHEMBL5730778
CHEMBL3545154,CHEMBL3545154,C=CC(=O)N1CCC(Oc2cc3c(Nc4ccc(Cl)c(Cl)c4F)ncnc3cc2OC)CC1,IC50,=,0.078,nM,10.11,CHEMBL4416109
CHEMBL5188940,CHEMBL5188940,CCc1cc(Nc2ncc(Br)c(Nc3ccc4c(c3P(C)(C)=O)OCCO4)n2)c(OC)cc1N1CCC(N2CC(N(C)C)C2)CC1,IC50,=,0.08,nM,10.10,CHEMBL5117930
CHEMBL5180388,CHEMBL5180388,CCc1cc(Nc2ncc(Br)c(Nc3ccc4nccnc4c3P(C)(C)=O)n2)c(OC)cc1N1CCC(N2CC(N(C)C)C2)CC1,IC50,=,0.08,nM,10.10,CHEMBL5327353
CHEMBL5180388,CHEMBL5180388,CCc1cc(Nc2ncc(Br)c(Nc3ccc4nccnc4c3P(C)(C)=O)n2)c(OC)cc1N1CCC(N2CC(N(C)C)C2)CC1,IC50,=,0.08,nM,10.10,CHEMBL6089392
CHEMBL5188940,CHEMBL5188940,CCc1cc(Nc2ncc(Br)c(Nc3ccc4c(c3P(C)(C)=O)OCCO4)n2)c(OC)cc1N1CCC(N2CC(N(C)C)C2)CC1,IC50,=,0.08,nM,10.10,CHEMBL6089389
CHEMBL180022,CHEMBL180022,CCOc1cc2ncc(C#N)c(Nc3ccc(OCc4ccccn4)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)C,IC50,=,0.08,nM,10.10,CHEMBL892951
CHEMBL285063,CHEMBL285063,C=CC(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,IC50,=,0.08,nM,10.10,CHEMBL978648
