name,molecule_chembl_id,smiles,max_phase,best_pchembl,best_standard_nM,activity_types,source,zinc_id,replicate
,,C[C@H](NC(=O)[C@H]1C[C@@]1(F)Cl)C(C)(C)C(=O)N1CCC2(CSC2)C1,,,,,,ZINCnu00000r2mEs,1
,,Cc1nc(-c2ccsc2)ccc1C(=O)N1C[C@@]2(C)C[C@@]2(C(=O)O)C1,,,,,,ZINCoA0000087TsN,1
,,CSc1ccnc(N2CCC(CO)(CNC(=O)C(SC)SC)CC2)n1,,,,,,ZINCpp00001BP6Kg,1
,,COC[C@H](C)C(=O)N1CCC[C@H]1C(=O)N[C@H]1CCCN(C2CC2)C1,,,,,,ZINCog00000HT9HS,1
,,C#Cc1ccc(C(=O)N2CCC[C@H]2[C@@H](C)NC(=O)[C@H](C)C2CCC2)o1,,,,,,ZINCpy00000oyToY,1
,,Cc1nc(-c2ccnc(-n3cccc3)c2)n(C[C@@H]2CCCCO2)n1,,,,,,ZINCoA0000087Tpn,1
,,COc1c(CN=c2ncnc(N(C)C[C@H](C)C(C)C)[nH]2)c(C)nn1C,,,,,,ZINCps00000CF5qW,1
,,Cc1ccc(C#N)cc1C(=O)NOCC(=O)NCCNS(N)(=O)=O,,,,,,ZINCo400000HFAhj,1
,,COC[C@@]1(C)COCCN1C(=O)COCCc1ccc(Cl)s1,,,,,,ZINCms000000DBdQ,1
,,Cc1nocc1C(=O)NC1CC(NS(=O)(=O)Cc2ccccc2)C1,,,,,,ZINCoj00000opcNw,1
,,COC1CC(N=c2[nH]c(N(C)Cc3ocnc3C)nc3c2COC3)C1,,,,,,ZINCpq00000CF5re,1
,,CCN1CC[C@@H]1CNC(=O)c1cnn(CCNC(=O)CCCOC)c1,,,,,,ZINCp8000015MdZn,1
,,CCN1CC[C@@H]1CNC(=O)C(C)(C)CCNC(=O)C1CN(C(C)=O)C1,,,,,,ZINCp8000015Me0c,1
,,CC(C(=O)N1[C@H](C)C[C@@H]1C(=O)NCC[C@H]1C[C@@H](O)C1)=C1CCCC1,,,,,,ZINCor00000sXlz4,1
,,Cc1cc(NC(=O)C(=O)N2CC[C@H](O)[C@H]2C)ncc1Br,,,,,,ZINCkg00000AivMb,1
,,CC1=C(C(=O)N[C@H](C)C2CCNCC2)C(S(N)(=O)=O)=C(C)O1,,,,,,ZINCmc00000fJPCC,1
,,CCc1ncc(S(=O)(=O)N[C@H](C)CNC(=O)C[C@H](C)C(F)F)o1,,,,,,ZINCnj00001A1dJX,1
,,CCc1ncc(S(=O)(=O)N[C@H](C)CN(C)C(=O)[C@@H](C)CC#N)s1,,,,,,ZINCnj00001A1dJQ,1
,,CCN1CC[C@H]1CNC(=O)CC1(CNC(=O)[C@]2(C)COC(=O)N2)CC1,,,,,,ZINCp5000015Me01,1
,,CCc1ncc(S(=O)(=O)N[C@H](CC)[C@@H](CC)NC(=O)[C@H](C)O)o1,,,,,,ZINCnb00001A1dJC,1
,,CC[C@H](C(=O)N[C@H](C)CCCNC(=O)C(C)(C)c1cc[nH]n1)C(C)C,,,,,,ZINCpx00000oyT74,1
,,C=C1CC(C(=O)NC[C@@H](C)CNC(=O)c2cc(F)c(C)cc2F)C1,,,,,,ZINCox0000027Kzf,1
,,NC1=NC(CC(=O)NC2CCN(C(=O)C3=NOC=C3)C2)=CS1,,,,,,ZINCm800000fJPob,1
,,CCN1CC[C@H]1CNC(=O)C#CC(C)(C)CNC(=O)[C@]1(C)CCCO1,,,,,,ZINCpf000015Me06,1
