name,molecule_chembl_id,smiles,max_phase,best_pchembl,best_standard_nM,activity_types,source,zinc_id,replicate
,,CCC[C@@H]1CCOC[C@H]1Nc1ccccc1[S@@](C)=O,,,,,,ZINCjA00000ctCbK,3
,,C#CC[C@@H](O)C(=O)N(CC#C)CCC(=O)NC[C@H]1CC2(CCC2)CO1,,,,,,ZINCp8000015Kcxz,3
,,CC=CCC(=O)N1CCN(C(=O)c2cnco2)[C@H](CF)C1,,,,,,ZINCli00000Gf97q,3
,,CCCCCC[C@H](C)C(=O)N[C@@H]1CCN(C(=O)c2c[nH]nc2OC)C1,,,,,,ZINCpt000004Muqp,3
,,CCOC1CC(CC(=O)N2CC[C@@H](CN(C)CC(F)(F)C(F)F)C2)C1,,,,,,ZINCpy000004T1Tt,3
,,CCOC1CC(CC(=O)N2CCCC[C@H]2CNC(=O)[C@]2(C)C[C@H]2Br)C1,,,,,,ZINCpy000004T1Kf,3
,,C#CC[C@H](O)C(=O)N(C)CCCCC(=O)NCC[C@H]1C[C@@H]1C(=O)OC,,,,,,ZINCp9000015Kcxw,3
,,CC=C[C@@H](O)C(=O)NCCC(C)(C)C(=O)NCCc1ncc(C)cn1,,,,,,ZINCpf000015Kcxo,3
,,C=C(C)CN(CC)C(=O)C[C@H](CC)NC(=O)c1cc(F)n(C)n1,,,,,,ZINCno00001A1OzG,3
,,C#CC[C@@H](O)C(=O)N(CC=C)CCC(=O)N1CCc2c(O)noc2C1,,,,,,ZINCp6000015Kcwu,3
,,CC[C@H](C)c1ccc(C(=O)NN2CCN(OC)C2=O)c(O)n1,,,,,,ZINCme00000aQL6A,3
,,N#CC1(C(=O)N2CCC[C@](F)(C(=O)NCC=CCl)C2)CCCCC1,,,,,,ZINCow00000phxI5,3
,,Cn1nc(C(F)(F)F)c(C(=O)NC2(CCN)CCCCC2)c1Cl,,,,,,ZINCny00000oKRPr,3
,,CCNC(=O)[C@H]([C@@H]1CCC=CO1)N1Cc2ccccc2C(C)(C)C1,,,,,,ZINCoz00000nMITM,3
,,Cn1nc(C(F)(F)F)c(C(=O)NC[C@H]2CNCCC2(F)F)c1Cl,,,,,,ZINCnq00000oKRPv,3
,,C=C(C)CN(CC)C(=O)C[C@H](NC(=O)[C@@H]1CCN1C)C(F)(F)F,,,,,,ZINCnl00001A1OzX,3
,,CCc1ccc(C(=O)NC[C@@H]2C[C@]3(CCN(C(=O)C=CBr)C3)CO2)[nH]1,,,,,,ZINCps000003ME90,3
,,CS[C@H](C)C(=O)N[C@@H]1CCN(C(=O)[C@@H]2CC[C@@H](C)C2)C[C@@H]1C,,,,,,ZINCmv000003lUqW,3
,,CC=C(C)C(=O)N1CC(NC(=O)C2CC(S(C)(=O)=O)C2)C1,,,,,,ZINCl700000Gf97g,3
,,CC[C@H](CC#N)N1CCN(C(=O)C[C@H]2CCC(=O)N2C)CC1,,,,,,ZINCme00000aQLaD,3
,,CN(C)CCOCCN1C[C@@H](C(=O)OC(C)(C)C)[C@H](C(F)(F)F)C1,,,,,,ZINCoq00000jwher,3
,,C=CCCC(=O)N1CC(NC(=O)c2cc(I)cn2C)C1,,,,,,ZINCkl00000Gf975,3
,,CCc1ccc(C(=O)NC[C@@]23C[C@@H](CO2)N(C(=O)[C@@H]2CC24CC4)C3)s1,,,,,,ZINCps000003MEi3,3
,,Cc1cc(C)n(CCOc2ccc(-c3ccccc3)nc2)n1,,,,,,ZINCmG00000bg5Tr,3
,,CC=CCC(=O)N1CCN(C(=O)[C@]2(C)CCO[C@H]2C)CC1,,,,,,ZINClk00000Gf973,3
,,C[C@@H](C(=O)NC[Si](C)(C)C)[C@@H]1CCCN(C(=O)c2csc(C#N)c2)C1,,,,,,ZINCpB00000xBCHP,3
,,COc1cc(C#N)cc(C(=O)N(C)Cc2nc(C(F)F)cs2)c1,,,,,,ZINCnC00000sXMc2,3
,,CS[C@H](C)C(=O)N[C@@H]1CCN(CCc2csc(C)n2)C[C@@H]1C,,,,,,ZINCmv000003lUrU,3
,,CCNC(=O)[C@H]([C@H]1CC[C@@H](C)C1)N1CCN(Cc2cccs2)CC1,,,,,,ZINCoy00000nMIU1,3
,,CCC[C@@H]1CCOC[C@@H]1Nc1ccccc1CC#N,,,,,,ZINCjD00000ctCbI,3
,,CN(CCCOCCN(C)C(=O)C(C)(F)F)C(=O)C[C@H]1CC12CC2,,,,,,ZINCor00000jwheu,3
,,C=CCCN(CC)C(=O)[C@H]1CC[C@H]1NC(=O)c1ccncc1N,,,,,,ZINCnl00001A1OAk,3
,,CC=CCC(=O)N1CCN(C(=O)C2=CCOC2)[C@H](CC)C1,,,,,,ZINClj00000Gf97b,3
,,CCOC1CC(CC(=O)NC[C@@H]2CCN2C(=O)c2cscc2CC)C1,,,,,,ZINCpy000004T2pW,3
,,CCOC1CC(CC(=O)N2CC[C@H](NC(=O)[C@H](C)C(C)C)[C@H](C)C2)C1,,,,,,ZINCpy000004T1Yu,3
,,C=C1CC(CN(C)C(=O)c2ccc(-c3ccccc3F)[nH]2)C1,,,,,,ZINCmI00000bg5Tq,3
,,C[C@@H](C(=O)Nn1cnc2ccccc21)N(C)C(=O)C[C@@H](C)C(C)(C)C,,,,,,ZINCpA00000xBCI5,3
,,CC[C@H](C)[C@H](O)C(=O)N[C@H]1C[C@H](NC(=O)C2=C(C)OCC2)C1,,,,,,ZINCme00000aQKZS,3
,,CC=CCC(=O)N1CCN(C(=O)c2cnc(O)s2)[C@@H](C)C1,,,,,,ZINClg00000Gf97t,3
,,Cn1nc(C(F)(F)F)c(COC(=O)C[C@H]2C[C@H]3C=C[C@@H]2O3)c1Cl,,,,,,ZINCny00000oKRPo,3
,,C[C@@H](Cn1ccnc1)C(=O)NC[C@@H](C)N(C)c1ncnn2cccc12,,,,,,ZINCpi000002FFex,3
,,CN(CCCOCc1ccccc1)N1CCO[C@@]2(CCCOC2)C1,,,,,,ZINCot00000jwhep,3
,,CC[C@H](C)[C@H](CNC(=NCCF)NCc1nncn1C)OC,,,,,,ZINCme00000aQKzD,3
,,CC=CCC(=O)N1CC(NC(=O)[C@@]2(Cl)CC2(F)F)C1,,,,,,ZINCji00000Gf97k,3
,,C[C@@H](Cc1cnc[nH]1)C(=O)N1CC(NC(=O)c2csc3nnsc23)C1,,,,,,ZINCpi000002FDf6,3
,,N#CC1(C(=O)N2CCC[C@@H]2C(=O)NC[C@@H]2CC2(Cl)Cl)CCCCC1,,,,,,ZINCox00000phxI7,3
,,CCC[C@@H]1CCOC[C@@H]1Nc1cc(CC)ccc1F,,,,,,ZINCjK00000ctCbM,3
,,COc1cc(C(F)(F)F)ncc1NC(=O)NC[C@@H]1C[C@@H](O)CN1C,,,,,,ZINCoi000000gbXC,3
,,Cn1nccc1C(=O)N1CC[C@@H]1C(=O)NCc1ccc(F)c(Cl)c1,,,,,,ZINCon00000p9z8Y,3
,,COc1cc(C(=O)Nc2cnn(CCO)c2C)cc2c1OCCO2,,,,,,ZINCoi000000gbKI,3
,,CC=C[C@H](O)C(=O)N(C)CC(C)(C)C(=O)N1CC[C@H](c2cc[nH]n2)C1,,,,,,ZINCph000015KcwE,3
,,Cc1c[nH]c(C(=O)NC(C)(C)CCC(=O)N[C@@H]2CCC(=O)NC2)c1,,,,,,ZINCog00000HLOJE,3
,,COc1cc(C(=O)NS(=O)(=O)C[C@@H]2CC[C@H](C)O2)ccc1[N+](=O)[O-],,,,,,ZINCoi000000gbvM,3
,,CCC[C@H](O)C(=O)NC[C@](C)(CC)C(=O)NCCc1nccnc1C,,,,,,ZINCph000015Kcxp,3
,,C/C=C(\C)C(=O)N1CCN(C(=O)c2cc(I)cn2C)CC1,,,,,,ZINClo00000Gf976,3
,,C#CC[C@@H](O)C(=O)N(C)C(C)(C)CC(=O)N1CC[C@H](n2cccn2)C1,,,,,,ZINCpc000015KcwF,3
,,CC[C@H](c1cccc(OC)c1OC)N(C=O)C[C@H]1CCOC1(C)C,,,,,,ZINCoE00000ko1IW,3
,,N#CC1(C(=O)N2CCC(CC(=O)NCCCC3CC3)CC2)CCC1,,,,,,ZINCow00000phxI3,3
,,Cn1nccc1C(=O)N1CC[C@@H](C(=O)Nc2ccnc(Br)c2F)C1,,,,,,ZINCoo00000p9z98,3
,,C[C@@H](Cc1cnc[nH]1)C(=O)NC[C@H](C1CC1)N(C)C(=O)C1=COCC1,,,,,,ZINCpi000002FDxr,3
,,C#CC[C@@H](O)C(=O)N(C)CCCCC(=O)N1CCc2oc(C)nc2C1,,,,,,ZINCpe000015Kcwx,3
,,C#CC[C@@H](O)C(=O)N(CC#C)CCC(=O)NCCc1ccccc1F,,,,,,ZINCpd000015Kcxk,3
,,CCNC(=O)[C@H]([C@@H]1CC[C@@H](C)C1)N(C)Cc1cc(C#N)ccc1F,,,,,,ZINCoA00000nMIU6,3
,,C#CCCN(CC)C(=O)[C@@H]1CCC[C@H]1NC(=O)[C@H](COC)OC,,,,,,ZINCne00001A1OAd,3
,,CCOC1CC(CC(=O)NCC2(NC(=O)c3ccc(CC)s3)CC2)C1,,,,,,ZINCpy000004T2cp,3
,,COc1cc(C)c(NC(=O)C(=O)N2CCCC[C@@H](N)C2)cc1OC,,,,,,ZINCoi000000gc6H,3
,,C[C@@H](Cc1cccc(F)c1)C(=O)N[C@H](C)CNC(=O)CCCC(N)=O,,,,,,ZINCpi000002FCxc,3
,,C#CCCN(CC)C(=O)C[C@H](CC)NC(=O)[C@]1(C)COC(=O)N1,,,,,,ZINCnc00001A1OzH,3
,,C[C@@H](Cc1cnc[nH]1)C(=O)N[C@H](C)CNC(=O)c1snnc1C1CC1,,,,,,ZINCpi000002FDEh,3
,,C#CCCC(=O)N1CCN(C(=O)C2(C)CSC2)CC1,,,,,,ZINCje00000Gf97e,3
,,C[C@H](C(=O)NCP(C)(C)=O)[C@@H]1CCN(C(=O)CC23CCC(CC2)C3)C1,,,,,,ZINCpB00000xBCHL,3
,,CCNC(=O)[C@H]([C@@H]1CC[C@H]2C[C@@H]1C2(C)C)N1CC[C@](C)(CC#N)C1,,,,,,ZINCoB00000nMITX,3
,,CO[C@H](C1CC1)[C@@H](C)NS(=O)(=O)Cc1cc(C)ccc1F,,,,,,ZINClt000006jqnO,3
,,C#CCCN(CC)C(=O)CCN(C(=O)COCC1CC1)C(C)C,,,,,,ZINCnp00001A1OA7,3
,,Cn1nccc1C(=O)N1CC[C@H]2CN(C(=O)C3(C)CCC3)CC[C@@H]21,,,,,,ZINCom00000p9z92,3
,,C[C@H](C(=O)NCP(C)(C)=O)n1cc(-c2ccccc2C(F)(F)F)nn1,,,,,,ZINCpC00000xBCHN,3
,,Cc1c[nH]c(C(=O)N(C)CC(C)(C)NC(=O)Cn2cnnc2)c1C,,,,,,ZINCoe00000HLOJI,3
,,Cn1nc(C(F)(F)F)c(CNS(=O)(=O)CC[C@H]2CCCO2)c1Cl,,,,,,ZINCnq00000oKRPl,3
,,CC[C@H](C)[C@@H](O)C(=O)NC1CC2(C1)CN(C(=O)[C@H]1C[C@H]1F)C2,,,,,,ZINCme00000aQKhq,3
,,C=C(C)CN(CC)C(=O)CCNC(=O)CNC(=O)OC(C)(C)C,,,,,,ZINCnk00001A1OA6,3
,,CC[C@H](C)c1nc(CC(=O)N(C)C)n(-c2nc(C)nn2C)n1,,,,,,ZINCme00000aQL7u,3
,,Cc1c[nH]c(C(=O)NCCCCC(=O)NCCCn2cnnn2)c1,,,,,,ZINCoa00000HLOJT,3
,,N#C[C@@]1(C(=O)N2CCC=C(C(=O)Nc3ccsc3)C2)C[C@@H]2C[C@@H]2C1,,,,,,ZINCox00000phxI1,3
,,CCc1ccc(C(=O)NC[C@H](C)CNC(=O)C[C@H]2OCCC2(C)C)[nH]1,,,,,,ZINCps000003MEnw,3
,,CCCCN(CC)C(=O)[C@H]1CCC[C@H]1CNC(=O)[C@H](O)C1CC1,,,,,,ZINCnp00001A1OAb,3
,,Cn1nc(C(F)(F)F)c(C(=O)OC[C@@H]2CC3(CC3)CO2)c1C#N,,,,,,ZINCnq00000oKRPz,3
,,C/C=C(\C)C(=O)N1CC(NC(=O)C2(C#N)C[C@H]3C[C@@H]3C2)C1,,,,,,ZINCli00000Gf97m,3
,,C[C@@H](Cc1cnn(C)c1)C(=O)N(C)C[C@@H]1CCCN1C(=O)[C@H](C)C#N,,,,,,ZINCpi000002FDIV,3
,,Cn1nc(C(F)(F)F)c(I)c1CNC(=O)c1cnc(Cl)cc1N,,,,,,ZINCnw00000oKRPA,3
,,CS[C@H](C)C(=O)N[C@@H]1CCN(C(=O)CC2CC=CC2)C1(C)C,,,,,,ZINCmv000003lUpT,3
,,COc1cc(C(=O)OC[C@@]2(C)CCN(C)C2=O)cc([N+](=O)[O-])c1N,,,,,,ZINCoi000000gbQU,3
,,CC[C@H](O)C(=O)N1CC2(C)CC1(C(=O)NC[C@H](O)COC(C)C)C2,,,,,,ZINCo6000012IT0f,3
,,CO[C@H](CCNC(=O)c1ccnn1C1CCC1)C(F)(F)F,,,,,,ZINClt000006jqsD,3
,,CC=CCC(=O)N1CCN(C(=O)c2cnn(C)c2)[C@H]2C[C@H]21,,,,,,ZINCle00000Gf97v,3
,,CCOC1CC(CC(=O)N2CCC[C@H](NC(=O)[C@H](CC)SC)CC2)C1,,,,,,ZINCpy000004T1P7,3
,,CC=CCC(=O)N1CCN(C(=O)c2ccon2)[C@H](C)C1,,,,,,ZINCkj00000Gf97d,3
,,CCNC(=O)[C@H]([C@@H]1CCC=CO1)N1CCc2cc(C)cc(Cl)c2C1,,,,,,ZINCoC00000nMITO,3
,,C#CC[C@@H](O)C(=O)NCCC(C)(C)C(=O)NCC1(O)CCN(C)CC1,,,,,,ZINCp5000015Kcxj,3
,,C[C@@H](C(=O)NN1CCC[C@H]1C(=O)NC[C@H]1CC[C@@H](C)C1)c1cccs1,,,,,,ZINCpz00000xBCI3,3
,,CCC[C@H](O)C(=O)NC[C@@](C)(CC)C(=O)N(C)Cc1cccc(O)n1,,,,,,ZINCpg000015Kcxl,3
,,C=C(C)CN(CC)C(=O)[C@H]1CC[C@H]1NC(=O)c1c[nH]nc1OC,,,,,,ZINCnj00001A1OAm,3
,,C#CCCN(CC)C(=O)[C@@H]1CC(C)(C)CN1C(=O)CN(C)CC,,,,,,ZINCnk00001A1OA9,3
,,C#CCCN(CC)C(=O)C[C@H](C)NC(=O)[C@H]1CCc2c[nH]nc21,,,,,,ZINCni00001A1OzU,3
,,Cn1nc(C(F)(F)F)c(C(=O)N2CC3(COC(C)(C)C3)C2)c1Cl,,,,,,ZINCnx00000oKRPp,3
,,CCCCN(CC)C(=O)C[C@H](O)CNC(=O)[C@H]1C[C@@H]1C(=O)OC,,,,,,ZINCn900001A1OA4,3
,,CC(C)=CC(=O)N1CCN(C(=O)[C@]2(C)C[C@H]2C)C[C@H](O)C1,,,,,,ZINClg00000Gf96Y,3
,,CO[C@H](C1CC1)[C@@H](C)NC(=NCC1(F)CCC1)NC1CC1,,,,,,ZINClt000006jqnC,3
,,CC=C[C@@H](O)C(=O)N(C)CCCCC(=O)Nc1cn(C)nc1C(N)=O,,,,,,ZINCp6000015Kcx7,3
,,C#CCCN(CC)C(=O)C[C@H](C)NC(=O)C[C@H]1CC(CC)=NO1,,,,,,ZINCnm00001A1OzT,3
,,Cn1nc(C(F)(F)F)c(I)c1CNC(=O)C[C@H]1CCC[C@H](O)C1,,,,,,ZINCnw00000oKRPB,3
,,C=CC[C@H](CNC(=O)[C@H]1C=CCC1)C(=O)N1CCCCCC[C@H]1CC,,,,,,ZINCpI00000sWD2I,3
,,CC=CCC(=O)N1CC(NC(=O)C2(CC(F)F)CC2)C1,,,,,,ZINCkn00000Gf974,3
,,COc1cc(C#N)cc(C(=O)N[C@@H]2CCC(F)(F)CC2(C)C)c1,,,,,,ZINCnF00000sXMc3,3
,,C[C@@H](Cn1ccnc1)C(=O)N1CCC[C@@H]1CN(C)C(=O)CSCC#N,,,,,,ZINCpi000002FF3E,3
,,C#CC[C@H](O)C(=O)N(C)C(C)(C)CC(=O)N1CCC[C@]2(C1)C[C@H](O)C2,,,,,,ZINCpd000015Kcwy,3
,,CCOC1CC(CC(=O)N2CC(CNC(=O)[C@H](C)C[C@@H](C)CC)C2)C1,,,,,,ZINCpy000004T1Er,3
,,COc1cc(CN(CCCSC)Cc2ccoc2C)oc(=O)c1,,,,,,ZINCnD00000sXMc8,3
,,CC[C@H](O)C(=O)N1CC2(CC(CC(=O)N3CC[C@H]3C(=O)OC)C2)C1,,,,,,ZINCo7000012IT0k,3
,,COc1cc(CN(CCCSC)CCC(C)(C)OC)oc(=O)c1,,,,,,ZINCnA00000sXMcb,3
,,CC=CCC(=O)N1CCN(C(=O)c2cc[nH]n2)C[C@@H]1CO,,,,,,ZINCl600000Gf978,3
,,CC[C@H](O)C(=O)N1CC2(C)CC1(C(=O)N1CCn3cncc3C1)C2,,,,,,ZINCo9000012IT0c,3
,,Cn1nc(C(F)(F)F)c(C(=O)NC[C@H]2CNCC(C)(C)C2)c1Cl,,,,,,ZINCnu00000oKRPw,3
,,Cn1nccc1C(=O)N1CC[C@H](C(=O)N2CCC23CCCCC3)C1,,,,,,ZINCoo00000p9z95,3
,,Cn1nc(C(F)(F)F)c(CNC(=O)[C@H](F)n2cc(Br)cn2)c1Cl,,,,,,ZINCny00000oKRPj,3
,,C[C@@H](Cn1cc(CN2CCC[C@H]2CO)nn1)NC(=O)CCC(C)(C)F,,,,,,ZINCpi000002FExX,3
,,CC=C[C@@H](O)C(=O)N(C)CCCCC(=O)N1CCc2nc(O)[nH]c2C1,,,,,,ZINCp7000015Kcww,3
,,CCCCN(CC)C(=O)C[C@H](NC(=O)C(=O)NC1CC1)C1CC1,,,,,,ZINCnh00001A1OA2,3
,,CCCCCC[C@H](C)C(=O)N1CC(F)(CNC(=O)c2ccncn2)C1,,,,,,ZINCpt000004Muho,3
,,CCc1ccc(C(=O)NC[C@H](C)N(C)C(=O)Cc2cnsc2)c(O)c1,,,,,,ZINCps000003MEtp,3
,,CCCCCC[C@H](C)C(=O)N[C@@H]1CN(C(=O)Cc2csnn2)C[C@@H]1F,,,,,,ZINCpt000004MuqY,3
,,CC=CCC(=O)N1CCN(C(=O)c2cnns2)C[C@H]1CF,,,,,,ZINClh00000Gf97w,3
,,C#CC[C@@H](O)C(=O)N(C)CC(C)(C)C(=O)N(C)CC1(O)CCCCC1,,,,,,ZINCpg000015Kcxq,3
,,CCC[C@@H]1CCOC[C@H]1Nc1ccccc1CCN,,,,,,ZINCjy00000ctCbJ,3
,,CCc1ccc(C(=O)NC[C@@H]2CN(C(C)=O)CCC23CCOCC3)o1,,,,,,ZINCps000003ME17,3
,,COc1cc(C)c(NC(=O)N2CC(C(N)=O)(N(C)C)C2)c(C)c1C,,,,,,ZINCoi000000gc9g,3
,,COc1cc(C(F)(F)F)ccc1C(=O)NC[C@@H]1CS(=O)(=O)CCO1,,,,,,ZINCoi000000gbWh,3
,,C#CCCN(CC)C(=O)[C@@H]1CCC[C@H]1NC(=O)C(C)(C)[C@H](C)O,,,,,,ZINCnl00001A1OAc,3
,,COc1cc(CN(CCCSC)Cc2ccns2)c(O)cc1C,,,,,,ZINCnJ00000sXMc7,3
,,Cn1nccc1C(=O)N1CC[C@H](C(=O)Nc2cc(Cl)ncc2F)C1,,,,,,ZINCon00000p9z96,3
,,Cn1nc(C(F)(F)F)c(COC(=O)c2ccc(N)c(O)c2)c1Cl,,,,,,ZINCnx00000oKRPm,3
,,CCOC1CC(CC(=O)NC2(CNC(=O)CCCCF)CCCC2)C1,,,,,,ZINCpy000004T29g,3
,,CCNC(=O)[C@H]([C@H]1CCC=CO1)N(C)[C@H]1CCCc2nc(C)sc21,,,,,,ZINCoz00000nMITU,3
,,C[C@H](C(=O)NNc1c(F)cccc1Cl)n1cc(C2CC(F)(F)C2)nn1,,,,,,ZINCpC00000xBCI9,3
,,N#CC1(C(=O)N2CCCC[C@H](C(=O)Nc3ccc(F)cc3)C2)CC1,,,,,,ZINCow00000phxHZ,3
,,CCc1ccc(C(=O)NC[C@@H]2CN(c3ncc(I)cn3)CCN2C)s1,,,,,,ZINCps000003ME2w,3
,,C[C@@H](C(=O)Nn1cnc2ccccc21)N(C)C(=O)C/C=C/C(C)(C)C,,,,,,ZINCpz00000xBCI4,3
,,NCC1(C(=O)N2CCC([C@H]3CCCCN3)CC2)CCC(F)(F)CC1,,,,,,ZINCov00000phxI9,3
,,C[C@H](C(=O)NCP(C)(C)=O)[C@H]1CCN(C(=O)C2(C)C(C)(C)C2(C)C)C1,,,,,,ZINCpC00000xBCHK,3
,,C#CC[C@@H](O)C(=O)N[C@](C)(CC#C)C(=O)NCCC1(OCC)CCC1,,,,,,ZINCpd000015Kcxs,3
,,CN(CCCOCc1ccccc1)N1CC[C@H]2NC(=O)CC[C@@H]2C1,,,,,,ZINCoq00000jwheo,3
,,C=CCCN(CC)C(=O)[C@@H]1CC12CC(NC(=O)[C@@H](O)C(C)C)C2,,,,,,ZINCnn00001A1OA8,3
,,CC[C@@H](c1cccc(OC)c1)N(C)CCC(=O)Nc1ccccn1,,,,,,ZINCoF00000ko1IU,3
,,C[C@@H](Cn1cc(-c2ccnn2C)nn1)NC(=O)CCc1ccncc1,,,,,,ZINCpi000002FE1U,3
,,Cc1c[nH]c(C(=O)N(C)CC(C)(C)C(=O)N[C@H](C)CS(C)(=O)=O)c1,,,,,,ZINCof00000HLOJF,3
,,CC=C[C@@H](O)C(=O)N(C)CCCCC(=O)NCCc1cn(CC)nn1,,,,,,ZINCpb000015Kcxm,3
,,CC[C@H](C)[C@H](O)C(=O)N(CC)CCNC(=O)c1nnc(C)s1,,,,,,ZINCme00000aQKF4,3
,,C#CC[C@@H](O)C(=O)N[C@@](C)(CC#C)C(=O)N=c1cc(C(N)=O)n(C)[nH]1,,,,,,ZINCp4000015Kcx2,3
,,Cc1c[nH]c(C(=O)NC(C)(C)CC(=O)NC[C@H]2COC[C@H]2O)c1C,,,,,,ZINCoc00000HLOJV,3
,,C#CC[C@H](O)C(=O)N[C@@](C)(CC#C)C(=O)N1C[C@@H](C#N)C2(CCC2)C1,,,,,,ZINCpa000015KcwO,3
,,CCNC(=O)[C@@H]([C@@H]1CC[C@H]2C[C@@H]1C2(C)C)N(C)C[C@](C)(CC)OC,,,,,,ZINCoD00000nMITY,3
,,CC[C@H](C)[C@H](O)CC(=O)NC1CN(C(=O)c2cc(F)c[nH]2)C1,,,,,,ZINCme00000aQL2t,3
,,C[C@@H](Cc1ccco1)C(=O)N(C)CCCN=c1ccc2nnnn2[nH]1,,,,,,ZINCpi000002FCGg,3
,,CC(C)[C@H](CNC(=O)[C@@H]1C=CCC1)C(=O)N1CCC[C@@H]1CC1CCC1,,,,,,ZINCpF00000sWD2J,3
,,C[C@@H](Cc1cnn(C)c1)C(=O)NCC[C@@H](C)N(C)C(=O)c1ccno1,,,,,,ZINCpi000002FDQP,3
,,CO[C@H](CCNS(=O)(=O)Cc1ccc(C)cc1)C(F)(F)F,,,,,,ZINClt000006jqte,3
,,C#CCCN(CC)C(=O)C[C@H](C)N(C)C(=O)[C@@H]1CC[C@H]1COC,,,,,,ZINCnn00001A1OzN,3
,,CN(CCCOCCNC(=O)C1(F)CCCCCC1)C(=O)CCF,,,,,,ZINCot00000jwhez,3
,,CCCCN(CC)C(=O)C[C@H](C)N(C)C(=O)[C@@H]1C[C@H](F)C(=O)N1,,,,,,ZINCng00001A1OzO,3
,,Cn1nccc1C(=O)N1CC[C@@H](C(=O)Nc2cc(F)c(Cl)cn2)C1,,,,,,ZINCon00000p9z97,3
,,CC[C@H](O)C(=O)N1CC2(CCCC2)[C@@H]1C(=O)NCC(=O)N(C)CC,,,,,,ZINCo7000012IT0j,3
,,CS[C@H](C)C(=O)N[C@@H]1CCC[C@@H]1CNC(=O)C[C@H]1CC1(C)C,,,,,,ZINCmv000003lUo7,3
,,CC=CCC(=O)N1CC(NC(=O)c2cccn(C)c2=O)C1,,,,,,ZINCl800000Gf96Z,3
,,COc1cc(CN(CCCSC)C[C@H]2C[C@@]23CC3(F)F)nn1C,,,,,,ZINCnA00000sXMce,3
,,C#CC[C@H](O)C(=O)NCCC(C)(C)C(=O)N1CC[C@H](OCC2CC2)C1,,,,,,ZINCpf000015KcwH,3
,,CCOC1CC(CC(=O)N2C[C@H](NC(=O)C3CCCCC3)C[C@@H]2C)C1,,,,,,ZINCpy000004T24T,3
,,C[C@H](C(=O)NN1CCC[C@H]1C(=O)NC1CCCCC1)C1CCCCC1,,,,,,ZINCpB00000xBCI0,3
,,CC=C[C@H](O)C(=O)N(C)C(C)(C)CC(=O)N1CCC(NC(C)=O)CC1,,,,,,ZINCpc000015KcwK,3
,,CCNC(=O)[C@H]([C@@H]1CCC=CO1)N1Cc2ccccc2CC1(C)C,,,,,,ZINCoA00000nMITL,3
,,Cn1nccc1C(=O)N1CC[C@H]2[C@@H](CCN2C(=O)C2(Br)CCC2)C1,,,,,,ZINCoo00000p9z90,3
,,CC=CCC(=O)N1CC(NC(=O)c2ccoc2C)C1,,,,,,ZINCjk00000Gf979,3
,,C[C@H](CO)N(C)S(=O)(=O)c1ccc(Br)cc1N(C)CCc1cccs1,,,,,,ZINCpB00000xBCHS,3
,,CCCCCC[C@H](C)C(=O)N1CCN(C(=O)C#C[C@@H]2CCOC2)CC1,,,,,,ZINCpt000004Muj6,3
,,CC=C[C@H](O)C(=O)NCCC(C)(C)C(=O)Nc1cnc2ccnn2c1,,,,,,ZINCph000015Kcx5,3
,,CCNC(=O)[C@H]([C@@H]1CC[C@H](C)C1)N1CCc2cc(F)cc(F)c2C1,,,,,,ZINCoC00000nMITZ,3
,,CC[C@H](C)[C@H](O)C(=O)N1CC[C@H](NC(=O)c2ccncc2)C1,,,,,,ZINCme00000aQKID,3
,,CC[C@H](O)C(=O)N1CC2(C)CC1(C(=O)NC[C@H](C)CC(=O)NC)C2,,,,,,ZINCo6000012IT0e,3
,,CC[C@H](C)[C@@H](O)C(=O)N[C@H]1C[C@@H](NC(=O)CC2(C#N)CC2)C1,,,,,,ZINCme00000aQKr8,3
,,COc1cc(C(=O)N[C@H]2C[C@@H]3CCCCN3C2=O)cc(OC)c1O,,,,,,ZINCoi000000gbHp,3
,,CC[C@H](O)C(=O)N1CC2(C)CC1(C(=O)N[C@H]1C[C@@H](C(=O)OC)C1)C2,,,,,,ZINCo8000012IT0g,3
,,C#CC[C@@H](O)C(=O)N[C@](C)(CC#C)C(=O)NCc1cnc(C)c(C)c1,,,,,,ZINCpb000015Kcxd,3
,,C#CCCN(CC)C(=O)[C@@H]1CCC[C@H]1NC(=O)[C@@H](O)C(C)(C)C,,,,,,ZINCnl00001A1OAf,3
,,COc1cc(C(F)(F)F)ccc1NC(=O)Cn1ccc(O)nc1=O,,,,,,ZINCoi000000gbWC,3
,,CCOC1CC(CC(=O)N2CC[C@@H](NC(=O)C3=C(Cl)CC3)[C@H](C)C2)C1,,,,,,ZINCpy000004T1TV,3
,,CCc1ccc(C(=O)NC[C@H](C)CNC(=O)CCN2CCCC2)cc1,,,,,,ZINCps000003MEme,3
,,CO[C@H](CN(C)C(=O)NCc1cnc(C)o1)C1CCCC1,,,,,,ZINClt000006jqxS,3
,,C#CC[C@H](O)C(=O)N(C)CCCCC(=O)N1CCn2ncc(C)c2C1,,,,,,ZINCpb000015KcwT,3
,,C[C@@H](Cn1cc(CN2CCNC2=O)nn1)NC(=O)Cc1csc(Cl)c1,,,,,,ZINCpi000002FEyq,3
,,CC=CCC(=O)N1CCN(C(=O)c2ccc[nH]2)[C@@H]2C[C@H]21,,,,,,ZINCkk00000Gf971,3
,,Cn1nc(C(F)(F)F)c(I)c1CNC(=O)[C@@H]1OCCCC1(C)C,,,,,,ZINCny00000oKRPC,3
